url,dish_name,instructions,cooking_time,servings,difficulty,usage,tips,image_link,index,ingredient_names,ingredient_quantities,category
https://monngonmoingay.com/canh-vit-khoai-so/,Canh vịt khoai sọ,"['Thịt vịt sơ chế sạch, khứa vài đường trên da, áp chảo cho ra bớt mỡ. Chặt miếng vừa ăn, ướp với 1m hạt nêm Aji-ngon®.', 'Khoai sọ gọt vỏ, cắt miếng vừa ăn. Cà rốt cắt miếng. Ngò gai, rau om cắt nhỏ.', 'Phi thơm hành tím, cho thịt vịt vào xào săn, cho 1.2 lít nước sôi vào, nêm 1M hạt nêm Aji-ngon® nấu vịt khoảng 15-20 phút cho thịt vịt vừa chín, thêm khoai sọ và cà rốt vào nấu chín. Tắt lửa, thêm ngò gai, rau om.']",30,4,Dễ,"['Cho canh ra tô rắc tiêu, dọn kèm nước mắm nguyên và ớt cắt lát. Dùng với cơm.']","['Xào vịt với củ hành tím để vịt có mùi thơm, khi nấu chín mềm, ngọt và không bị nát.', 'Áp chảo da vịt để loại bớt mỡ, khử mùi và tăng mùi thơm cho món ăn.']",https://monngonmoingay.com/wp-content/uploads/2015/08/CanhVitKhoaiSo_CQC8325.png,1,"['Thịt vịt', 'Khoai sọ', 'Cà rốt', 'Hành tím', 'Ngò gai, rau om', 'Tiêu, nước mắm, dầu ăn']","['Thịt vịt 600g', 'Khoai sọ 300g', 'Cà rốt 1/2 củ', 'Hành tím 5 củ', 'Ngò gai, rau om', 'Tiêu, nước mắm, dầu ăn']",canh
https://monngonmoingay.com/rau-cu-kho-mayonnaise/,Rau củ kho mayonnaise,"['Thịt cắt khối 2cm, ướp 1/2M hành tỏi băm, 1m hạt nêm Aji-ngon®, 1/4m tiêu, 1/4m muối, 1/4m đường, 1M dầu điều, để thấm.', 'Su su, củ săn, cà rốt gọt vỏ, cắt khối vuông 2cm bằng dao răng cưa, ướp lượng gia vị giống như thịt, để thấm.', 'Phi thơm 1M hành tỏi băm, cho thịt vào xào săn, cho rau củ vào xào cùng, thêm nước dừa vào xâm xấp mặt thịt, thêm ớt hiểm vào đun sôi rồi giảm lửa kho đến khi nước cạn gần hết, thêm 2M xốt Mayonnaise Aji-Mayo®, kho khoảng 5 phút rồi tắt lửa.']",25,4,Dễ,['Món kho dùng nóng với cơm trắng.'],"['Ướp rau củ trước khi kho giúp rau củ thấm gia vị, vừa ăn hơn.', 'Giảm lửa rồi thêm xốt Mayonnaise Aji-Mayo® vào kho vài phút giúp mayonnaise bám đều nguyên liệu.']",https://monngonmoingay.com/wp-content/uploads/2015/08/2-rau-cu-kho-mayonnaise-540-360.jpg,2,"['Thịt nạc dăm', 'Su su', 'Củ sắn', 'Cà rốt nhỏ', 'Ớt hiểm đập dập', 'Nước dừa tươi', 'Hành tỏi băm', 'Muối, đường, tiêu, dầu điều, dầu ăn']","['Thịt nạc dăm 150g', 'Su su 150g', 'Củ sắn 150g', 'Cà rốt nhỏ 1 củ', 'Ớt hiểm đập dập 1 trái', 'Nước dừa tươi 1 chén', 'Hành tỏi băm 2M', 'Muối, đường, tiêu, dầu điều, dầu ăn']",kho
https://monngonmoingay.com/luon-chien-mam-sa/,Lươn chiên mắm sả,"['Lươn lọc bỏ xương, cắt khúc khoảng 4cm, khứa vảy rồng. Ướp 1M tỏi băm, 1M sả băm, để thấm.', 'Rau xà lách, húng quế lặt sạch. Dưa leo cắt khúc 5cm.', 'Tẩm lươn qua Aji-Quick® Bột Chiên Gà Giòn, chiên chín vàng, vớt ra để ráo dầu. Chiên sả bào cho vàng giòn rồi băm sơ.', 'Cách làm nước mắm sả: Pha 1M nước, 1M đường, 1M nước mắm, 1/2M nước cốt chanh, 1M sả băm, 1M ớt băm và sả chiên giòn.']",15,4,Dễ,"['Xếp lươn chiên giòn ra dĩa cùng với rau và dưa leo, ăn kèm rau và chấm nước mắm sả.']","['Cho sả chiên vào nước mắm giúp tạo mùi thơm đặc trưng cho món ăn.', 'Nên làm sạch hết gân máu trong ruột lươn để lươn không bị tanh.']",https://monngonmoingay.com/wp-content/uploads/2015/08/IMG_7198-luon-chien-mam-sa.png,3,"['Lươn (làm sạch, cắt khúc)', 'Sả băm', 'Sả (bào sẵn)', 'Tỏi băm', 'Ớt băm', 'Xà lách lolo', 'Dưa leo', 'Nước cốt chanh', 'Rau húng quế', 'Nước mắm, đường, dầu ăn', 'Aji-Quick® Bột Chiên Giòn']","['Lươn (làm sạch, cắt khúc) 300g', 'Sả băm 2M', 'Sả (bào sẵn) 2 cây', 'Tỏi băm 2M', 'Ớt băm 1M', 'Xà lách lolo 2 cây', 'Dưa leo 1 trái', 'Nước cốt chanh 1M', 'Rau húng quế 1 ít', 'Nước mắm, đường, dầu ăn', 'Aji-Quick® Bột Chiên Giòn']",chiên
https://monngonmoingay.com/cuon-ga-khai-vi/,Cuốn gà khai vị,"['Ức gà cắt miếng bản to, dày 1cm, dùng màng bọc thực phẩm bao lại rồi dùng búa hoặc chai thủy tinh dần nhẹ cho mỏng đều 1 ly. Pha 1m hạt nêm Aji-ngon® với nước hành tỏi sau đó rưới đều lên thịt gà.', 'Luộc lạp xưởng với ít nước đến khi cạn, sau đó áp chảo cho thơm.', 'Đặt lạp xưởng lên trên thịt gà, cuộn tròn chặt lại, quết xốt Mayonnaise LISA lên cuốn gà, rắc lên 1 lớp bột xù.', 'Thơm, dưa leo cắt miệng mỏng vừa ăn.', 'Đun nóng dầu ăn, cho cuốn gà vào chiên chín vàng, vớt ra để ráo dầu, sau đó cắt xéo miếng vừa ăn.', 'Ghim gà vào que với các loại trái cây như dưa leo, thơm và cà chua bi.']",15,4,Dễ,['Dùng nóng. Chấm kèm xốt Mayonnaise LISA.'],"['Luộc lạp xưởng chín với ít nước sau đó áp chảo sẽ thơm hơn.', 'Dùng màng bọc thực phẩm để khi dần thịt gà không bị dính và nát.', 'Chiên gà trong chảo đáy bằng với lượng dầu ngập nửa cuốn gà là vừa đủ.']",https://monngonmoingay.com/wp-content/uploads/2015/08/IMG_0460-cuon-ga-khai-vi.png,4,"['Thịt ức gà', 'Lạp xưởng', 'Cà chua bi', 'Bột xù', 'Ngò tây', 'Hành tỏi băm, nước hành tỏi', 'Tiêu, dầu ăn']","['Thịt ức gà 200g', 'Lạp xưởng 4 cây', 'Cà chua bi 10 trái', 'Bột xù 1 chén', 'Ngò tây', 'Hành tỏi băm, nước hành tỏi 1 ít', 'Tiêu, dầu ăn']",cuốn
https://monngonmoingay.com/banh-roti-cuon-thit-ga/,Bánh rôti cuộn thịt gà,"['Gà cắt miếng vừa ăn, ướp 1m bột nghệ, 2M nước tương “Phú Sĩ”, 1/3m tiêu, 1m hành tím băm, để thấm.', 'Đậu Hà Lan cắt khúc xéo dài 3cm. Hành lá cắt nhỏ.', 'Phi thơm hành lá, cho bơ, thịt gà vào xào, cho tiếp cà rốt, đậu Hà Lan và nước dùng gà vào, tiếp theo cho cơm vào trộn đều, tắt lửa.', 'Áp chảo bánh rô ti vừa chín. Trải bánh ra, cho hỗn hợp đã xào vào cuốn tròn, xếp vào khay, rắc phô mai lên trên.', 'Mở lò nóng sẵn, đặt khay vào lò nướng khoảng 2 phút là được.']",20,4,Dễ,['Dùng nóng.'],"['Ướp nước tương “Phú Sĩ” vào gà tạo hương vị đặc trưng. Khi xào gà không bị khô.', 'Bánh rô ti không cần rã đông, áp chảo vừa chín không để vàng quá sẽ khó cuốn.', 'Trộn thêm cơm và đậu Hà Lan tạo sự cân bằng về dinh dưỡng cho một bữa ăn hoàn chỉnh.']",https://monngonmoingay.com/wp-content/uploads/2015/08/B%C3%81NH-R%C3%94-TI-CU%E1%BB%98N-TH%E1%BB%8AT-G%C3%80_CQC1507.png,5,"['Thịt đùi gà không xương', 'Bơ', 'Bánh rô ti', 'Phô mai Mozarella cắt nhỏ', 'Cà rốt cắt sợi', 'Củ Đậu Hà Lan', 'Nước dùng gà', 'Cơm', 'Hành lá', 'Bột nghệ', 'Hành tím băm', 'Tiêu, xốt tabasco, dầu ăn']","['Thịt đùi gà không xương 300g', 'Bơ 20g', 'Bánh rô ti 5 cái', 'Phô mai Mozarella cắt nhỏ 50g', 'Cà rốt cắt sợi 1/2 củ', 'Củ Đậu Hà Lan 50g', 'Nước dùng gà 1 chén', 'Cơm 1 chén', 'Hành lá 3 nhánh', 'Bột nghệ 1m', 'Hành tím băm', 'Tiêu, xốt tabasco, dầu ăn']",bánh
https://monngonmoingay.com/tom-cang-xot-tuong/,Tôm càng xốt nước tương,"['Tôm càng cắt bỏ chân, càng, đuôi, 1/3 phần đầu chẻ dọc sống lưng ướp một ít hạt nêm Aji-ngon® và bột năng trong 15 phút.  Chiên sơ tôm qua dầu ở nhiệt độ cao.', 'Ớt sừng cắt hình thoi cạnh 2cm. Hành tây cắt múi cau. Hành lá cắt khúc 2cm. Gừng đập dập. Trứng gà đánh tan.', 'Pha hỗn hợp xốt tương gồm: 1M tương đen, 1M tương ớt, 1M đường, 1m hạt nêm Aji-ngon®, 1 chén nước dùng, 1M nước tương “Phú Sĩ”, 2,5M Giấm gạo lên men LISA®, .', 'Phi thơm gừng tỏi với 1 ít dầu điều, cho tôm vào nấu vừa chín, cho hỗn hợp xốt tương vào đun sôi.. Cho ớt sừng, ớt băm, hành tây, và sau cùng cho trứng gà, hành lá vào đảo đều.']",30,4,Dễ,"['Cho tôm ra đĩa chan xốt lên trên, trang trí với nhánh ngò, ăn kèm với cơm trắng.']","['Chẻ lưng tôm ướp với gia vị và tẩm một lớp mỏng bột năng rồi chiên sơ, như vậy sẽ giữ được chất ngọt của tôm.', 'Cho trứng vào món ăn để xốt béo và tạo vân đẹp mắt.']",https://monngonmoingay.com/wp-content/uploads/2015/08/IMG_4328-tom-cang-xot-nuoc-tuong.png,6,"['Tôm càng', 'Gừng', 'Nước dùng', 'Hành tây', 'Ớt sừng', 'Trứng gà', 'Hành lá', 'Tỏi băm, ớt băm', 'Đường, muối, bột năng', 'Dầu điều, tương ớt, tương đen']","['Tôm càng 4 con ( 600g )', 'Gừng 50g', 'Nước dùng 1 chén', 'Hành tây 1 củ', 'Ớt sừng 2 trái', 'Trứng gà 1 quả', 'Hành lá 2 nhánh', 'Tỏi băm, ớt băm', 'Đường, muối, bột năng', 'Dầu điều, tương ớt, tương đen']",xốt
https://monngonmoingay.com/thit-bo-tron-ngu-sac-2/,Thịt bò trộn ngũ sắc,"['Thịt bò lạng mỏng đều khoảng 3 li, ướp hạt nêm Aji-ngon®, tiêu và 1m dầu ăn, để thấm, sau đó áp chảo chín đều rồi cắt sợi.', 'Cà rốt xắn sợi răng cưa dài 5cm, dài 3 li. Bông cải cắt miếng vừa ăn. Cần tây cắt cọng bằng cà rốt. Lá quế cắt đôi. Bắp cải tím bào sợi, ngâm đá.', 'Luộc bông cải, cà rốt, vớt ra ngâm nước đá cho nguội, để thật ráo nước.', 'Trộn đều các loại rau củ và thịt bò, thêm muối, tiêu, 3M xốt Mayonnaise Aji-mayo®, thêm lá quế.']",15,4,Dễ,"['Cho thịt bò trộn ngũ sắc ra dĩa, dùng làm món khai vị.']",['Thịt nên áp chảo lửa lớn để giữ nước ngọt và độ mềm. Có thể thêm tương ớt để tăng hương vị cho món ăn.'],https://monngonmoingay.com/wp-content/uploads/2015/08/thit-bo-tron-ngu-sac-40lm472.jpg,7,"['Thịt bò phi lê', 'Bắp Mỹ', 'Bông cải xanh, bông cải trắng', 'Bắp cải tím', 'Lá quế', 'Cà rốt', 'Cần tây', 'Cọng Tỏi', 'Muối, tiêu, dầu ăn']","['Thịt bò phi lê 200g', 'Bắp Mỹ 50g', 'Bông cải xanh, bông cải trắng 100g', 'Bắp cải tím 50g', 'Lá quế 20g', 'Cà rốt 1/4 củ', 'Cần tây 50g', 'Cọng Tỏi 2 tép', 'Muối, tiêu, dầu ăn']",trộn
https://monngonmoingay.com/salad-banh-da-tom/,Salad bánh đa tôm,"['Tôm sú luộc chín, bỏ đầu, bóc vỏ, chẻ đôi.', 'Bánh đa cắt miếng vừa ăn, thả vào chảo dầu nóng chiên vàng, vớt ra để ráo dầu.', 'Hành tây tím bào mỏng, ngâm đá. Cà chua cắt đôi. Ớt cắt sợi mỏng.', 'Trộn đều 4M xốt Mayonnaise Aji-Mayo® với 1m đường, 1m nước mắm, 1M tương ớt 1m tỏi băm, 1m ớt băm, thêm các nguyên liệu tôm, salad, ớt chuông, cà chua và hành tây vào trộn đều.']",10,4,Dễ,"['Cho món salad ra dĩa, dùng kèm bánh đa tôm.']","['Thêm nước mắm và món trộn có xốt mayonnaise giúp tăng hương vị độc đáo cho món ăn.', 'Ngâm hành tây tím với đá viên giúp khử mùi hăng của hành.']",https://monngonmoingay.com/wp-content/uploads/2015/08/IMG-0018-salad-banh-da-tom.png,8,"['Bánh đa tôm', 'Tôm sú', 'Salad Roman', 'Hành tây tím', 'Ớt chuông xanh', 'Cà chua bi', 'Đường, nước mắm, tương ớt, dầu ăn', 'Ớt băm, tỏi băm']","['Bánh đa tôm 1 cái', 'Tôm sú 100g', 'Salad Roman 150g', 'Hành tây tím 1/2 củ', 'Ớt chuông xanh 1/4 trái', 'Cà chua bi 10 trái', 'Đường, nước mắm, tương ớt, dầu ăn', 'Ớt băm, tỏi băm']",gỏi/salad
https://monngonmoingay.com/bo-cuon-xot-la-que/,Bò cuộn xốt lá quế,"['Thịt bò cắt lát, đập mỏng 3mm, ướp 1 ít mù tạt và 1 ít hạt nêm Aji-ngon®.', 'Xốt lá quế: cho 30g hạt điều, lá quế, 1m tỏi băm, 1/2m muối, 10g phô mai bột, 3M dầu ăn vào máy sinh tố xay nhuyễn.', 'Phết xốt lá quế lên trên miếng thịt bò, cuộn tròn, quấn thịt ba rọi muối bên ngoài, dùng tăm xiên giáp mí.', 'Chiên lửa vừa đến khi cuộn thịt vừa chín tới, vàng đều bên ngoài.']",25,4,Dễ,"['Rút tăm ra khỏi thịt, xếp ra đĩa, ăn kèm với muối tiêu chanh.']","['Thoa ít nước lên bề mặt thịt để búa không bị dính khi đập.', 'Xay hỗn hợp lá quế bằng máy xay sinh tố để lá quế thơm hơn.']",https://monngonmoingay.com/wp-content/uploads/2015/08/IMG_4511-bo-cuon-xot-la-que.png,9,"['Bò phi lê', 'Ba rọi muối', 'Lá quế tây', 'Hạt điều băm', 'Phô mai bột', 'Tỏi băm', 'Dầu ăn, muối, tiêu', 'Mù tạt vàng']","['Bò phi lê 250g', 'Ba rọi muối 6 miếng', 'Lá quế tây 20g', 'Hạt điều băm 30g', 'Phô mai bột 10g', 'Tỏi băm 1M', 'Dầu ăn, muối, tiêu', 'Mù tạt vàng']",xốt
https://monngonmoingay.com/goi-bao-tu-ca-basa/,Gỏi bao tử cá basa,"['Bao tử cá basa rửa sạch với 1 chút giấm và muối, để ráo. Ngó sen vắt bỏ nước, ướp với một ít đường để 15 phút, thấm ráo nước', 'Cà rốt cắt sợi. Gừng cắt sợi nhuyễn, một ít đập dập. Ớt sừng cắt sợi. Ớt hiểm băm nhuyễn. Cần tàu cắt khúc 4cm. Đậu phộng đập dập. Húng lủi cắt nhỏ.', 'Bao tử cá basa luộc trong nước có 1/2m hạt nêm Aji-ngon®, một ít rượu và gừng đập dập, đến khi vừa chín tới, vớt ra để ráo ngâm vào nước đá có ít chanh.', 'Pha nước trộn gỏi: Hòa tan hỗn hợp gồm 3M Giấm gạo lên men LISA®, 3M đường, 2M nước mắm, 1 ít ớt hiểm băm và tỏi băm.', 'Cho một ít nước trộn gỏi vào bao tử cá basa, trộn đều để thấm khoảng 5 phút. Cho ngó sen, cà rốt, cần tàu, ớt sừng, gừng và phần nước trộn gỏi còn lại vào, trộn đều.']",25,4,Dễ,"['Cho gỏi bao tử cá basa ra dĩa, rắc đậu phộng, hành phi và húng lũi lên trên. Ăn kèm với bánh phồng tôm.']","['Rửa sạch bao tử cá basa bằng giấm và muối để khử mùi tanh của bao tử cá.', 'Ướp bao tử với nước trộn gỏi trước để bao tử thấm đều gia vị.']",https://monngonmoingay.com/wp-content/uploads/2015/08/1_CQC0576_GoiBaoTuCaBasa.png,10,"['Bao tử cá basa', 'Ngó sen ngâm chua', 'Cà rốt', 'Cần tàu', 'Ớt sừng', 'Ớt hiểm', 'Gừng', 'Đậu phộng', 'Tỏi băm', 'Hành tím phi', 'Húng lủi', 'Đường, nước mắm']","['Bao tử cá basa 300g', 'Ngó sen ngâm chua 250g', 'Cà rốt 1/2 củ', 'Cần tàu 10 cọng', 'Ớt sừng 1 trái', 'Ớt hiểm 2 trái', 'Gừng 1 củ nhỏ', 'Đậu phộng', 'Tỏi băm', 'Hành tím phi', 'Húng lủi', 'Đường, nước mắm']",gỏi/salad
