dish_id,dish_name,ingredients,instructions,tips,usage,cooking_time,servings,difficulty,image_url,url
1,Sườn Chiên Xốt Mận,"Sườn non: 500g, Ớt chuông đỏ: 1 trái, Ớt chuông xanh: 1 trái, Ớt chuông vàng: 1 trái, Gừng băm: 1M, Gừng nhỏ: 1 nhánh, Hành tím băm: 1M, Tỏi băm : 1M, Xốt mận: 3M","Hành tím, tỏi băm giã nhuyễn vắt lấy nước, giữ xác. Ướp sườn với 1m tiêu, nước hành tỏi, 1m hạt nêm Aji-ngon®, để thấm. Gừng đập dập. Cắt 3 loại ớt chuông và hành tây thành miếng hình thoi cạnh 2 cm. Pha 1 gói gia vị nêm sẵn Aji-Quick® Bột Chiên Giòn với nước theo hướng dẫn trên bao bì. Cho sườn, gừng và 1/2 chén nước vào nồi áp suất nấu 5phút từ lúc nước sôi, trút ra dĩa để nguội. Đun nóng dầu ăn, nhúng sườn vào hỗn hợp gia vị nêm sẵn Aji-Quick® Bột Chiên Giòn đã pha, chiên sườn với lửa vừa đến khi chín vàng giòn, vớt ra để ráo dầu. Phi thơm hành, tỏi, gừng, cho ớt chuông và hành tây vào xào nhanh tay, nêm 1m hạt nêm Aji-ngon®. Thêm 3M xốt mận, 3M nước luộc sườn, nấu sôi, thêm sườn vào xóc đều.","Nấu sườn bằng nồi áp suất vừa tiết kiệm thời gian vừa giữ được vị ngọt trong sườn., Nấu sườn chung với gừng để thịt thơm hơn, tạo mùi thơm đặc trưng cho món ăn., Dùng nước luộc sườn để làm xốt giúp món ăn ngọt và đậm đà hơn.","Cho sườn ra dĩa, dùng với cơm trắng.",35,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2015/08/suon-chien-xot-man-880.jpg,https://monngonmoingay.com/suon-chien-xot-man/
2,Canh Sườn Hạt Sen,"Sườn non: 300g, Hạt sen tươi: 100g, Bắp non: 50g, Bông cải xanh: 100g, Cà rốt: 50g","Sườn non chặt miếng vừa cỡ 3cm, ướp 1m Hạt nêm Aji-ngon® Heo và một ít tiêu. Bắp non, bông cải, cắt miếng vừa ăn. Cà rốt tỉa hoa, cắt lát. Nấm hương sơ chế sạch, ngâm nở,cắt đôi. Đun sôi 1.5 lít nước, cho sườn vào nấu, nêm 1M Hạt nêm Aji-ngon® Heo, nấu sườn khoảng 15 phút, cho bắp non vào, cà rốt, hạt sen, nấm hương vào, cuối cùng cho bông cải nấu vừa chín. Tắt lửa, thêm 1/2M nước mắm, hành ngò.","Chọn sườn non dầy thịt, ít mỡ, cọng xương nhỏ, nhiều sụn giúp món ăn ngon hơn., Chọn hạt sen tươi có bên ngoài trắng, sáng, không bị thâm là hạt sen ngon.","Múc ra tô, rắc thêm tiêu. Dọn kèm nước mắm nguyên chất và ớt cắt lát. Dùng với cơm., Xem thêm: các món ngon từ thịt heo",25,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2015/08/10_CanhSuonHatSen_CQC0401.png,https://monngonmoingay.com/canh-suon-hat-sen-2/
3,Sườn Nướng Tiêu,"Sườn non: 600g, Tiêu xanh đập dập: 20g, Tiêu đen bể: 20g, Tiêu trắng bể: 20g","Sườn chặt khúc 10cm, rạch 1 đường dọc ở giữa sườn. Xốt ướp: 1/3m baking soda, 1/2 hũ sữa chua có đường, bột tỏi 1m, bột hành 1m, cho 1M tiêu xanh, 1M tiêu đen bể, 1m hạt nêm Aji-ngon, 2M dầu hào, 2M nước tương “Phú Sĩ”, 3M mật ong và 1M dầu điều. Cho 1 chén nhỏ nước hấp sườn vào trộn đều, ướp với sườn qua đêm. Xếp sườn lên vỉ, nướng 180°C trong 20 phút, rắc thêm tiêu trắng sau khi nướng. Khoai tây cắt múi cau, chiên giòn, ăn cùng sườn. Làm xốt: trộn đều hỗn hợp gồm 3M xốt mayonnaise “Aji-mayo” với 1M mù tạt vàng, 1 ít tiêu xanh băm và tiêu trắng.","Sự kết hợp giữa 3 loại tiêu tạo nên mùi thơm đặc trưng cho món nướng., Xẻ một đường dọc miếng sườn giúp khi ăn dễ hơn., Ướp sườn với sữa chua có đường để làm mềm sườn và thịt béo, ngon hơn.","Cho sườn ra dĩa, rắc lên thêm tiêu trắng xay, trang trí thêm xà lách, ăn kèm với xốt đã pha., Món ăn ngon đi kèm: Salad xanh",25,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2015/08/suon-nuong-tieu-880.jpg,https://monngonmoingay.com/suon-nuong-tieu/
4,Lẩu Kim Chi Phô Mai,"Thịt ba chỉ bò cắt lát sẵn: 150g, Thịt ba chỉ heo cắt lát sẵn: 150g, Phô mai mozzarella: 50g, Cải thảo: 200g, Nấm kim châm: 150g, Viên thả lẩu (bánh bao hải sản nhiều màu): 100g, Ớt sừng: 1 trái","Cải thảo cắt gốc, rửa sạch lá, để ráo. Nấm kim châm cắt bỏ gốc, rửa sạch, để ráo. Hành boaro: phần cọng trắng cắt mỏng, phần lá cắt nhỏ, để riêng Phi thơm hành boaro với 1m dầu ăn, thêm 1.5L nước vào đun sôi, nêm gói Gia Vị Nêm Sẵn Aji-Quick® Lẩu kim chi vào khuấy đều. Chuẩn bị 1 nồi đất, cho mì, xếp các loại rau, nấm lên trên, thêm thịt các loại, viên thả lẩu (bánh bao hải sản) vào, chan nước lẩu.","💡Cho phô mai vào sau cùng để phô mai tan chảy trên mặt lẩu giúp món ăn hấp dẫn hơn., 💡Dùng Gia Vị Nêm Sẵn Aji-Quick® Lẩu kim chi để món lẩu có mùi vị kim chi đặc trưng.","Đun sôi nồi lẩu, trước khi ăn cho phô mai lên trên, thêm lá boaro cắt sợi, ớt sừng cắt lát, đậy nắp, nấu đến khi phô mai tan chảy là dùng được. Có thể ăn kèm với kim chi.",5,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2024/09/lau-kim-chi-pho-mai-8.jpg,https://monngonmoingay.com/lau-kim-chi-pho-mai/
5,Cà Tím Nhồi Thịt Áp Chảo,"Cà tím: 2 trái, Thịt xay: 150g, Giò sống: 30g","Cà tím cắt bỏ cuốn, cắt đôi theo chiều dọc, dùng muỗng múc bỏ ruột. Lá lốt cắt sợi. Pha 1m bột năng với ít nước. Trộn thịt xay, giò sống với lá lốt, ướp 1m hạt nêm Aji-ngon®, 1/3m tiêu, để thấm. Cho ít tiêu và hạt nêm vào cà tím, sau đó rải ít bột năng khô vào, nhồi thịt vào trong cà tím. Đun nóng ít dầu ăn, úp mặt thịt xuống trước, áp chảo cà tím vàng mặt, vớt ra để ráo. Pha xốt: Phi thơm tỏi băm, hành tây và ớt sừng, thêm 2M nước tương Phú Sĩ, 1 chén nước, 1m hạt nêm Aji-ngon®, 1m đường, 1m muối, nấu tan, thêm nước bột năng vào làm sệt.","Rắc bột năng vào bên trong giúp thịt dính và không bị rời ra khỏi cà tím khi áp chảo., Lá lốt giúp tăng mùi vị và làm món ăn đẹp mắt hơn.","Xếp cà tím ra dĩa, chan nước xốt lên trên, trang trí ngò rí, dùng với cơm trắng.",30,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2015/08/ca-tim-nhoi-thit-ap-chao.jpg,https://monngonmoingay.com/ca-tim-nhoi-thit-ap-chao/
6,Canh Bí Đỏ Đậu Phộng,"Bí đỏ: 500g, Đậu phộng: 100g, Hành tím băm: 1m","Bí đỏ cắt khối Đậu phộng để nguyên vỏ luộc sẵn Thịt nạc vai xay, ướp 1m hạt nêm Aji-ngon® gà, 1/2m tiêu, 1/2m đường và 1m hành tím băm. Vo viên tròn. Bí ngô gọt vỏ, dùng dao răng cưa, cắt khối vuông, ướp với 1m hạt nêm Aji ngon gà. Đun 1.2l nước sôi, giã dập đậu phộng nấu với thịt viên cho đậu mềm và canh có nước ngọt, nêm 2m hạt nêm Aji-ngon® gà. Tiếp tục cho bí đỏ vào nấu thêm 10 phút cho bí vừa mềm, cho rau om, ngò gai và 1M nước mắm vào đảo đều, nhắc xuống múc ra tô.","Ngâm đậu phộng trong nước lạnh để khi nấu đậu mau mềm., Chọn bí đỏ 2 da thì bí sẽ dẻo và ngon hơn., Chọn thịt nạc vai xay có lẫn mỡ để viên thịt không bị khô., Mua đậu luộc nguyên hạt khi nấu canh sẽ nhanh mềm hơn.","Dùng nóng, Món ăn ngon đi kèm: Gà xào xốt táo",10,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2022/12/canh-bi-do-dau-phong.jpg,https://monngonmoingay.com/canh-bi-do-dau-phong/
7,Heo Kho Tàu,"Thịt heo: 500g, Nước dừa xiêm: 1 quả, Ớt sừng: 1 quả, Trứng gà: 4 quả","Luộc miếng thịt heo từ nước nguội cho thịt săn. Xả nước cho nguội bớt, ngâm vô nước đá cho lạnh. Cắt miếng cạnh 5cm. Tỏi đập giập ướp thịt với 2 gói gia vị nêm sẵn Aji-Quick® Thịt Kho tàu 15 phút, 1m nước mắm. Ớt sừng bỏ hạt, cắt khúc 3cm. Hòa nước dừa với nước lọc đủ 600ml, cho thịt đã ướp vào kho nhỏ lửa (không để sôi) đến khi thịt chín rục (45 phút) thêm ớt sừng, tắt lửa giữ nóng. Trứng gà luộc từ nước nguội 10 phút, vớt ra ngâm nước đá làm lạnh nhanh, lột vỏ. Ngâm trứng trong nước kho 1h, hoàn tất.","Luộc thịt rồi cắt miếng sau khi kho miếng thịt sẽ vuông vức đẹp măt hơn., Luộc lòng đào trứng gà rồi ngâm trong nước kho để trứng thấm vị nhưng còn giữ được nhiều dinh dưỡng., Dùng gia vị nêm sẵn Aji-Quick® Thịt Kho tàu việc chế biến món ăn sẽ dể dàng và ổn định chất cũng như hình thức hơn.","Dùng nóng với cơm dưa giá hoặc dưa cải trộn., Món ăn ngon đi kèm: Tim heo xào măng tây",45,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2023/01/heo-kho-tau.jpg,https://monngonmoingay.com/heo-kho-tau/
8,Sườn Kho Khoai Tây,"Sườn non: 250g, Khoai tây: 150g, Nấm rơm: 50g, Ớt hiểm: 1 trái, Hành lá: 1 nhánh, Tiêu xanh: 1 nhánh, Củ nén: 25g, Ớt sừng: 1 trái","Sườn non cắt khúc 3cm Nấm rơm ngâm rửa sạch, cắt đô Ớt hiểm đập dập Hành lá đầu hành lá đập diập cắt nhỏ, lá cắt nhỏ Tiêu xanh đập dập Củ nénnửa để nguyên, nửa băm nhỏ ướp sườn Ớt sừng cắt quả trám Sườn non ướp 1M củ nén băm, 1m hạt nêm Aji-ngon® Heo 1/2M nước tương Phú Sĩ, để thấm Khoai tây cắt khối vuông răng cưa miếng vừa ăn, chiên sơ, để ráo Cho 1M đường vào 2M dầu điều, thắng màu caramel, tiếp theo xào thơm củ nén nguyên còn lại, cho sườn vào xào săn, cho nước vào xâm xấp, kho lửa lớn, vớt bọt, sau đó hạ lửa nhỏ, nêm 1M nước tương, 1m bột ngọt, 1m hạt nêm Aji-ngon Heo, 1 trái ớt hiểm đập dập, 1 nhánh tiêu xanh đập dập, thêm khoai tây và nấm rơm, kho đến khi nước hơi sánh lại, đảo đều, tắt lửa.","💡 Ướp sườn với củ nén để tăng mùi thơm cho món ăn., 💡 Dùng nước tương Phú Sĩ khi kho, giúp món ăn đậm đà và thơm ngon.","Cho sườn kho khoai tây ra dĩa, rắc tiêu xay, hành lá và ớt sừng cắt quả trám lên trên, dùng nóng với cơm trắng.",5,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2024/08/suon-kho-khoai-tay.jpg,https://monngonmoingay.com/suon-kho-khoai-tay/
9,Dồi Trường Hấp Hành Gừng,"Dồi trường: 300g, Hành tây: 100g, Hành lá: 50g, Ớt sừng: 1 trái, Chanh: 1 trái","Hành tây cắt múi. Hành lá cắt khúc. Ớt sừng 1/2 cắt sợi, 1/2 băm nhỏ. Pha chấm mắm tôm: hòa tan 2M mắm tôm, 1m rượu trắng, 1m chanh, 1m đường, 1m ớt băm, khuấy đều nổi bọt. Luộc dồi trường trong nước có gừng, 1/2m muối và 1m rượu trắng khoảng 15 phút, vớt ra cho ngay vào nước lạnh. Cắt dồi trường thành khúc 3cm, thêm 1/2m hạt nêm Aji-ngon® Heo vào trộn đều, xếp ra dĩa với gừng cắt sợi, hành tây và hành lá. Trước khi ăn, hấp lại khoảng 10 phút cho nóng, rưới tỏi phi lên trên.","Luộc dồi trường khoảng 15 phút, không luộc lâu vì dồi trường sẽ dai không ngon., Ngâm dồi trường trong nước có đá lạnh để dồi trường được trắng và giòn., Lựa dồi trường trắng, mịn không có đốm đen hoặc xám màu.","Dùng nóng, trang trí với ớt cắt sợi, ăn kèm với rau thơm và chấm mắm tôm., Món ăn ngon đi kèm: Chả giò hải sản phô mai",25,4,Dễ,https://monngonmoingay.com/wp-content/uploads/2015/08/doi-truong-hap-hanh-gung-880.jpg,https://monngonmoingay.com/doi-truong-hap-hanh-gung/
10,Ba Rọi Nướng Mè Rau Củ,"Ba rọi heo: 300g, Bắp mỹ: 1 trái, Cà chua bi: 5 trái, Mè đen: 1m, Mè trắng: 1m, Hành băm: 1m, Tỏi băm: 1.5M","Thịt ba rọi để nguyên miếng, xăm nhẹ thịt bằng nĩa để ướp thịt mau thấm. Trộn đều gia vị gồm 1m mè đen, 1m mè trắng, 1m dầu hào, 2m dầu điều, 1m hành băm, 1m tỏi băm, 1m nước tương Phú Sĩ, 1m Hạt nêm Aji-ngon® HEO, 1/2m Bột ngọt Aji-no-moto® và ướp vào thịt để thấm 20 – 30 phút. Bắp mỹ cắt khúc 2cm, luộc chín với nước pha ít hạt nêm. Măng tây bào sơ vỏ, cắt khúc 5 – 6cm, chần sơ với nước pha ít hạt nêm. Cà chua bi chẻ đôi. Cho thịt vào NỒI CHIÊN KHÔNG DẦU, mở chế độ nướng thịt và nướng 160 độ lần 1 trong vòng 15 phút. Trở mặt thịt, cho rau củ vào và quét thêm ít dầu ăn bên ngoài, rắc ít lá basil khô, cho vào NCKD nướng thêm 15 phút. Xốt chấm: Pha hỗn hợp 1/2m tiêu, 1/3m bột ngọt ajinomoto, 1m đường, 1M dầu ăn, 1/2m tương cà, 2M nước tương Phú Sĩ, 1/2M tương ớt, 2M nước, 1M tỏi băm rồi nấu cho hỗn hợp sôi lên.","Xăm thịt trước khi ướp giúp thịt thấm gia vị khi nướng hơn., Cho dầu để tinh dầu lá basil hòa tan và tăng hương thơm cho thịt.","Cắt thịt thành lát mỏng và xếp ra đĩa, ăn kèm xốt chấm và rau củ nướng., Món ăn ngon đi kèm: Salad cam tình yêu",45,4,Trung bình,https://monngonmoingay.com/wp-content/uploads/2023/11/ba-roi-nuong-me-rau-cu.jpg,https://monngonmoingay.com/ba-roi-nuong-me-rau-cu/
